번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"167","시한부:백은별 장편소설","백은별 지음","바른북스","2024","9791193647646","","0","","813.7","1","1","2025-12-10",
"168","다시 시작된 전쟁=The US-China Tariff war","이철 지음","Page2(페이지2북스)","2025","9791169851527","","0","","349.42012","1","2","2025-12-10",
"169","머니 트렌드 2026=Money trend 2026:위기 속 돈의 흐름을 지배하는 50가지 생존 공식","김도윤 [외] 지음","북모먼트","2025","9791193937686","","0","","321.97","1","3","2025-12-10",
"170","빛들의 환대:전석순 장편소설","전석순 지음","나무옆의자","2025","9791161572253","","0","","813.7","1","1","2025-12-10",
"171","스탠 바이 미","김하율,정진영,조영주 [공]지음","푸른숲주니어","2025","9791172545703","","4","","813.7","1","1","2025-12-10",
"172","암전들:저스틴 토레스 장편소설","저스틴 토레스 지음;송섬별 옮김","열린책들","2025","9788932925448","","0","","843.6","1","0","2025-12-10",
"173","월요일 수요일 토요일:페트라 펠리니 소설","페트라 펠리니 지음;전은경 옮김","책읽어주는남자","2025","9791193937822","","0","","853","1","0","2025-12-10",
"174","잠겨진 문","프리다 맥파든 지음;조경실 옮김","북플라자","2025","9791193324707","","0","","843.6","1","0","2025-12-10",
"175","책을 덮고 삶을 열다","정혜윤 지음","Nox(녹스)","2025","9791199405806","","0","","818","1","0","2025-12-10",
"176","혼모노:성해나 소설집","성해나 지음","창비","2025","9788936439743","","0","","813.7","1","3","2025-12-10",
"177","트렌드 코리아 2026=Trend Kroea:2026 대한민국 소비트렌드 전망","김난도 [외] 지음","미래의창","2025","9791193638859","","1","2026","320.911","1","4","2025-12-10",
"178","그렇다고 죽을 수는 없잖아:큰글자책:울어도 쓰러져도, 다시 살아지게 하는 힘에 관하여","원영 지음","불광출판사","2025","9791172612122","","0","","220.4","1","0","2025-12-10",
"179","첫 여름, 완주:김금희 장편소설","김금희 지음","무제","2025","9791197221989","","0","","813.7","1","0","2025-12-10",
"180","달콤 짭짤 코파츄:다영 과학동화","다영 지음;밤코 그림","창비","2025","9788936448912","","7","4","404","1","5","2025-12-10",
"181","달콤 짭짤 코파츄:다영 과학동화","다영 지음;밤코 그림","창비","2024","9788936448738","","7","3","404","1","4","2025-12-10",
"182","꼬리 치는 동시:김개미 시","김개미 지음;한호진 그림","책과콩나무","2025","9791174260062","","7","","811.8","1","1","2025-12-10",
"183","[빅북] 동물 목욕탕 :한얼 그림책 ","한얼 지음","","2025","9788960324633","","7","","813.7","1","0","2025-11-07",
"184","[빅북] 민들레를 먹었어 :이유민 그림책 ","이유민 지음","","2025","9788960324602","","7","","813.7","1","0","2025-11-07",
"185","준에게 ","은영","부크크","2022","9791137288621","","0","","813.7","1","1","2025-10-23",
